text,label
새해부터 험한소리 나오게 하네....,1
애플 불매 합시다.,1
닥ㅊ고 음식이나 차려라,1
제남자친구가 2주일전 해군에 입대했는데어제편지가왔어요ㅠ_ㅠ,0
보성이 동생 존경합니다....소아암 환자 를 돌보는 당신 아름답습니다...,0
병신년에 병신년이 나와서 병신같은 말만하네~!!!,1
지금은 22살 아기는 이제 돌 됐어요,0
배우로써 멋있어...연기도 잘하고....화이팅 입니다!,0
진짜 최재원 보내냐 돌대가리들,1
힘이 있어야 되는겨. 맨날 싸우고 거짓말하고 이러니 나라를 우습게 보는겨,1
딱 봐도 중국산 배터리 쓰다 불났는데,1
음주운전은 가족까지 사형시켜야함,1
아사다 마오는 연아 언니처럼 부드러운 연기를 잘 못하잖아요.,1
祝 結婚....幸福하시길...,0
감히 대!!!!!!한민국을 일개 개사기꾼 화장실 똥개넘이 무시를해??????,1
 언제까지 그런식으로 할건지요.,1
응 봄에서 여름만 심한거 잘 알고있어~~,0
슬리피가 진정한 프로다,0
비아그라먹고 굳 했다고 자백해라 어서.!!!,1
훈훈한 비주얼에 따뜻한 연출 기대할게요!!,0
수지 힘내세요!!♥♥♥,0
일베를비롯한 정권의 하수인들 나라를 좀먹는 놈들도 전부 조사해서 씨를말려야합니다,1
난 그냥 찌질한 남자가 싫다..,1
시간여행하는 갤랙시탭 때문에 고민에 빠진개특검.,1
 박태환씨 정말 대단하네요.,0
차 살돈도 없으니.. 참 댓글수준 볼만하다ㅋㅋ,1
헬쥐가 튼튼하긴한데 ㅋㅋㅋㅋㅋㅋㅋ,0
남편의 남동생이 서방님이라는게 말이 되나?? ㅋㅋㅋㅋ,1
부산시민 여러분 훌륭하십니다!!!쵝오!!,0
 라도 이전글이궁금하면 검색하시면 다나옵니다 ㅎㅎ,0
프로야구발전을 위해서 1라운드만 하기로 했습니다!!,0
글보다가애인이랑 통화하거나 만나면 힘이 난다는과학적연구에 관한 글이 있어서 남친한테 보여줬어요.,0
호랑이한테 써봐라 잡아묵나안잡아묵나,1
내년 FA대박내려고 이번년도에 미친듯이던지겠네,1
이걸 기점으로 닭그네 탄핵후 구속 가자!!!,1
그래서 닥터스 사랑하고 응원합니다!!!!!!!!ㅋ,0
뼈빠지게 알바해서 돈 그거에 다 꼬라박냐 멍충아,1
콘서트 와이프 손잡고 가자고 해야겠다.,0
머리끄댕이잡고 끌고와라,1
우와 아베멋있다.,0
예보도 안되고 하물며 실시간날씨도 틀리다뉘,1
계집들은 집안일이나 할것이지 ㅋㅋㅋㅋ,1
일요일날 마트 못가는 것도 야당에서 만든거고,1
언젠간 니눈에서 피눈물 나게해줄게,1
뮤츠나 잡아볼까!,0
슈퍼컴퓨터가 있으면 뭐하냐 기상청은 슈퍼컴퓨터를 읽지도 못하는데,1
"항상 좋은 음악,좋은 노래 들려줘서 너무너무 고마워요~",0
아이스쇼로 스트레스가 날아갔어요~,0
예D ~ 500일 축하해요,0
오락가락이 붙었다!!!!!ㅋㅋㅋ,0
선동도 이정도면 의도적이다,1
왜 혈세로 슈퍼컴 만들어서 기상청 주려고?,1
외교부가 미쳐돌아가고 있고만,1
아니 t자코스도 통과못하면 그냥 차끌고다닐생각마라,1
김재현화이팅,0
언제나 밝은모습시원시원한 말씀프로의마인드 감사드립니다.,0
난민받아주면 안됨 ㅡㅡ,1
쓰레기 매국노들~그냥 평생 몸에 일장기 꽂고 살아라!,1
이딜가나 무도충들이 노답이지...,1
억울하면 결과로 증명해야지.,1
쥐꼬리만한 신생구단이 별 나쁜것만 쳐 배워서,1
아오 시발 저래서 소고기 사묵으면 잘 넘어가려나,1
 삼성이 망해야 하는 이유다.,1
 모든 빵을 다 좋아해요.,0
개 망신당하지말고 하루빨리 일본에 넘겨라,1
작년 보낼때는 인성이 어떻고하며 뭔 일이있어도 안잡는다더니 나바로 한해만에 인성이 갑자기 성인수준으로 올라왔냐,1
박근혜는 책임지고 하야하라,1
이 집안 꾸준하네...,1
아잠만여러분이거 스포츠서울이잖아요이거 ㅂㅎㅅ 있는덴데,1
 근데 엉망진창 외교에 군납비리..,1
다 공범이당 다시는 국회의원 못하게 해야 한다.,1
말도 잘못하는데 자기머리를 먼수로 올리냐 미친,1
지난시즌에서 이루어냈던 엘지의 집중력과끈기!!!,0
둘다 너무 이쁘구 사랑스러운 것 같아요 ㅎㅎㅎㅎㅎ,0
"참모들은 뭐하는거야, 꼭 불상사가 생겨야 움직이나?",1
 쑈그만 하고 정유라 잡아들여라,1
일베보다 심한 박사모,1
새벽에 알바들이 안자고 ㅉㅉㅉ,1
언제환기시킬수 있는지 모르겠다 거의 미세먼지라서 그런지,1
특검이 있어 다행이네요,0
내 집 주변에 포켓스탑이 하나도 없어서 안함,1
많은 사람들의 도움도 있었겠으나영계백숙 무대를 위해 몸과 맘이 얼마나 힘들었을까요..,0
"윤길현,손승락은 삭감무조건해라 족발값이라도 삭감해라!!!",1
이런 쓰레기들에게 경어를 쓰는건 또뭐야,1
블랙박스 영상은 왜 지웠을까..??,1
ㅋㅋㅋㅋ 그러게 사드는 왜 배치하시나요,1
내글 지우네 좌빨들,1
 친구새낀 대학때문에 바쁜데 같이좀하자고 볼멘소리햇더니 이번에 대학 연합 엠티도 빠진다네여.,1
 결국 거기2달만에 때려치우고 나왓는데 아직도그 사장 생각하니 믿을수 없는게 웬지 손해본거 같음..,1
정말 정신 나갔네 ㅡㅡ,1
국민들 피땀흘린 세금이 엉뚱한 곳에 있다니..,1
양키들 때려잡는 날,1
그동네엔ㆍ하나같이 맛이간 인간들뿐인지ㆍㆍ,1
야이 인간들아,1
황교안이 대행 끝나면 세월호수사 틀어막고 인사보복 한거 정윤회사건 최순실의 예산143억 집행 한거 특검에서 조사대상 이랍니다,0
선진국은 저렇게 모든 사람들을 배려하지만 미개한 헬조선은 수탈하기에만 바쁘다 이기야!! ㅋㅋ,1
감동의눈물이...ㅠㅠ 너무 아름다운..인간도 그런 맘이 있음 조으련만..,0
그리고 손님이 거스름돈 천원 더 주셔서 걍 내가 먹음 ㅋㅋㅋㅋㅋㅋ,0
응 ..이제 순실전자 제품 안살거야..,1
노잼드라마달연이더재미있어요,1
우리가 검은머리 외국인들이나 불체자들까지 걱정해줘야되나,1
역시 믿고 보는 정동하 무대였음,0
우버땜에 첨으로 벤츠타봄 ㅋㅋㅋ,0
댓글 잘읽었습니다.,0
아놔!!!! 나도 간다 서울로,1
세금으로 역사를 자기네 유리하게 왜곡하고 그러려고 대통령 했구나 인간도 아니다 악마다,1
소녀상 이전뿐 아니라 해병대 주둔시켜야합니다!!!,1
퇴보하는 미국.. 남북전쟁시절이냐 ..쯥,1
좌빨들 배제하는것 당연지사 아니가.,1
언제나 열씸히 하는 누나모습이 아름답습니다.,0
에라이 핸드폰 뜨거워져서 폭발이나 해라! 그래서 이 쓰레기를 태워버리기나 해라!,1
"한국 역사를 왜 새누,리 에서 만들고 평가하고 쇄뇌 시키려는거냐",1
이 방송 나갈거라는거 알고 오늘 헌재에 세월호7시간 답변서 못냈나??,1
사형가자 끝까지 추악하구나,1
얘네 언제 바다속으로 가라앉냐 예언이 그렇던데..,1
관상이 나착해요 말해주자나!!,1
자랑스러운 대한민국,0
인맥도 환영합니다^^,0
증거를 올려. 주둥아리 나불대지 말고 ㅋㅋㅋ. 수준하고는,1
 그네랑 탄핵동기 친목계 해라.,1
매니저가 본인보다 유명해지니 바로 한건 캬,1
해체해라 개잦슥들아,1
특허라는게 너무 남발되서 부자들끼리의 투기장이 되어버린 것 같네요,1
 주최측도 좌빨 그대로다.,1
국민이 고통받은거 생각하면 고문이라도 해야한다고 생각한다.,1
전지현 누나도 이민호 형도 너무 이쁘고 멋있어요.,0
이 두분 덕분에 궁금한거 오해있던거 다 풀고 가네요 ㅜㅜㅎㅎ,0
미친것들!!,1
수시로 인서울대 연영과 가겠지,1
차인표 라미란 케스팅 진짜진짜 신의 한수~~!!!,0
 개꿀잼이었음 담주 기대됨,0
3천원이면 탈만하겠던데 만오천원인가 2만원이었음,1
올겨울은 춥지 않겠구만~,0
개돼지들 열받을만한 기사네 ㅋㅋㅋ,0
너네들이나 일베많이 해세여,1
 이렇게 말하고 갔는데 진짜 끝장보고싶나..0,1
김감독 경질이나 자진사퇴 기사가 났으면여권을 불태워 버렸을텐데 ㅜㅜ한해동안 수고 많았어~~ ㅋㅋ메이저 가서도 승승장구하기를!!,0
문재인 1위나오니깐 똥줄타서 일베 알바들 총출동인가 ㅋ,0
원작 먼저 봐야겠네요~^^,0
동생 새끼도 쓰레기인듯한데,1
단통법은 위헌이다 헌법 소원 내자,1
마음이지만 정말로 생일 축하드립니다.,0
분노를 넘어서 눈물이 나네요.,1
ㅡ종신형ㅡ아니면 이나라 법도 썩은 거다.ㅡ,1
핵개발 지원해준 좌빨들 먼저 죽여야돼,1
이병헌내 가족들은 다 20대 어린여자를 좋아하나봉가 동생남편도 아내임신중에 20대 여자에게 술에 약을타 성폭행하고 기사 한줄안나더만 특종인데 내부자들 개봉당시에 대단해,1
오랜 창작의 고통 끝에 소설 출간 완료,0
ㅎㅎㅎ 헬쥐... ㅋ,0
감동 그 자체...,0
  넘 귀여워~~~,0
인생막장에 최후로 선택하는 인간말종들에 뭘 바래?,1
놓치기 쉬운 부분을 잘 정리해주는 것 같아 큰 도움 얻었습니다,0
보고있냐 대한민국 정부들아 저것좀 보고 반성해라,1
엄마가 진짜 생각없다 본인 딸 생각은 안하고 개가 더 걱정임?,1
대박^*^은근히 섹시한 보검계속 기다리게됨 ㅎ,0
안볼란다.,1
우리나라도 좌좀색기들 싸그리 청소하려면 저런사람이 필요하다...,1
 무식하게 100년전 독립투사와 비교하면서 난민들을 마치 친일파인냥 취급하는게 말이 된다고 생각하냐?,1
기업대표란 놈이 찍어먹어봐야 똥인지 아냐. 그냥 이런 동영상이 있구나 했다라니 참나.,1
추워서 조으다,0
앱한번 샀으면됐지 왜 자꾸 인증하냐,1
백조가 드디어 취업했습니다 ㅠㅠ,0
머리털을 다 쥐어뜯어버리고싶다,1
역시 한화이글스는 신기록 제조기팀이네~~ ㅋㅋㅋㅋㅋㅋ,0
대한민국과 일본이 힘을 합하여 북한을 괴멸 시킵시다.,1
연아님 해피 메리 크리스마스!!!,0
" 올해 한번 일내보자~~김성근 감독님, 오간도, 한화이글스 화이팅!!",0
박죄인은 국민의 어명을 받들라사약을 내리겠노라,1
각성근개막장영화해도되겟내개욕하게,1
박근혜 궁댕이나 때려라,1
살면서 현대.기아는 안사는걸로,1
 악마에게 영혼팔고 프리메이슨 빨아대면 유명해지니까!,1
  감사혀유!!  ^^,0
김연아 욕은 팬들이 먹인다,1
마음 같아선 쳐들어가서 죽여 버리고 싶고만 참다 병생기겠다,1
아니 진짜 1%라도 맞는걸 우긴다면 좀 들어나 주겟는데. 이건 도대체가 왜 지들꺼라 하는지 모르겟네.. 쪽바리 ㅅㄲ들,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어차피 국력도 없어서 독도 뺏길것들이 입만 살아가지고 한국,1
조의연은 뭐하는 놈이냐.,1
이열ㅋㅋ역시였군ㅋㅋ행복하세요~,0
"신사임당 왜 오만원권 지폐 모델인지도 모르겠고, 아들 잘둔거 하나밖에 없는 것같은데...",1
요즘티맵상태안좋아 10,1
토요일마다 비오네 짜증난다,1
나도 우파보수였지만 이건 분명 대통령 잘못이다,1
민폐캐릭 지수때문에 많이 못나오는 박시연은 무슨죄?,1
태극기...정말소름돋는집단이다 ..,1
소속사는 이래서 큰데로 가야함. 진짜 찐따같이 일 못한다.,1
오늘 아침에 금메달 소식 들었습니다.,0
물속에서 최고의 연기보여주신 두분 감사합니다~~~~~♡,0
난 오픈카 타고 가로수길 놀러기는뎁....ㅎ,0
삼족으로 되겠냐???,1
우리대한민국 국민들 정말 위대하십니다.,0
형욱이 김영란법때문에 많이 힘들었구나,1
당연히 대통이 탄핵되면 대통의 행적도 전면철회해야 하는거 아니냐,1
근혜가 오래전부터 나라 말아먹을려고 순시리 하고 기획한거같다,1
마지막 김고은 연기 ㅠㅠㅠ와....진짜..보는 내가 울컥했다z....,0
진태야 니 촛불은 물 한번 확 부어버리면 한번에 다 꺼진단다,1
시위하는 시키들 의식수준이 얼마나 낮으면 쓰레기봉투를 사서 나눠줄까,1
정부는 아무것도 하지 않을겁니다.,1
이번에도 무고죄로 밝혀지면 확실히 구속시켜라,1
통신사앱도 빼라~ 메모리를 얼마나 잡아먹는데.... 휴대폰 느려지는 이유,1
김경숙 거부감 최고!!,1
대박이당!!! 출연하면 무편집영상본 갖고싶당ㅠㅠ,0
똥통법으로 배터져라!!!!!!,1
당장 내일 날씨도 못맞추는 판국에 3개월 그까이꺼 덥고 비 많이 오겠지 하고 땡인가?,1
눈이 썪는다눈이 썪어,1
 알바생 한테가서 따져야하는건가요?0,1
박근혜와 친박 개누리들이 버틴다면 세자릿수도 가능할듯,1
감사합니다^^,0
와. . 그 발연기에 손발오글을 또 보라고?,1
박그네가 문제야 그년이 문제야,1
내년을 기약하며 무적엘쥐의 신화창조는 아직 끝나지 않았다!!!!,0
돈도 많이 벌었으니 이젠 그냥 조용히 미국가렴,1
매일 재미있게 해주는 백종원씨 앞으로도 응원합니다!,0
와 시발 진짜 욕나온다저런것들이 대통령 하야?,1
전범기업 차 사는놈들은 대부분 쪽빠리똥딱아주는놈이라고 생각하면됨.,1
요즘 연꽃이 한창 피고 있네요~,0
젤로의 다비드상ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
주찬이형 어디다가져다놔도 수비는 기본이상해주는선수니까..,0
진짜 둘 보면 저절로 엄마미소가 지어진다ㅋ,0
불법조업선박에 대포알 다섯개씩 박아버려,1
 끝이 어케 되나 보자,1
한마디로 열받는다.,1
우와 최민용씨 다리기네요 .비율이 좋네용,0
다 환수해라 닥은 살처분하고 그게 답이다,1
진짜 제일 좋아하는 야구선수 김병현 . 진심 멋지다.,0
블랙핑크는 소속사말고 뭐 볼게 있고 뭐 한게 있다고,1
더운건 둘째치고 습도가 높아서 우리나라 여름이 싫은거다.,1
  그동안 연아양의 노력이 결실을 맺었군요!!,0
 진심으로 생일축하한다,0
아아 현재의시각으로만 미래를바라보는것 얼마나 미개한가...,1
이와중에 또 박명수가 연루 됬군,1
그냥 관련 놈들 싸그리 광화문에 모아서 개작두로,1
사기로 구속시켜야 해!!!!!!!!!!!,1
 제발 좌좀들아 깔껀까라 쫌,1
한 번도 횡단보도로 건너 본 적 없다는 인터뷰이도 집에선 애들한테 횡단보도로 건너라고 훈장질하겠지..!! 술자리에선 중국 교통 문화가 후진적이라고 깔테고..,1
보면서 넘 흐뭇함~~,0
저도 불매 운동에 동참할랍니다.,1
생각할 줄 아는 청년일세/,0
정말보기싫다문재인,1
 어떤식으로 전남편을 아니 그자식을 제대로 법적대응을 할수있을까요 ?,1
모든 공약이 무늬만이었음.,1
맨날 드러누우니 좋은 감정을 갖을수잇겟나,1
이번에 아이 책가방 샀어요,0
강준이애들한테잘하구ㅎㅎ아이들좋아하는거같아ㅜㅜ잘생겼어♡,0
"쳐들어가기전에 니발로 나와라 진짜 짱난다고!,,,,",1
최고의 명승부 잘 싸웠습니다 스오?,0
유치원원장이 국민과 대통령은 유치원생으로본거지,1
손흥민 선수 응원합니다,0
싸이코 천지구만 ㅉㅉㅉ,1
테블릿 테블릿 하니깐 노트북인줄 아는 모양이다. 그냥 초대형 스마트폰일뿐,1
지하철 무임승차한다고 지하철이 고장나냐?,1
얼굴도예쁘고연기도잘하고다좋아요~♡,0
  사업/ 요리/결혼 모두 부럽고 존경합니다.,0
거짓말 ㅠ 조금 내려간다 하셨는데 혹시 밤 기온이 28~29?? 요고 맞아요?,1
짝짝짝황교안도 사퇴해라,1
누차 얘기 하지만 쓰래기랑 비교하지 마세요 비교대는 쓰레기 열폭합니다..,1
생각보단 이쁘네 화장하면 상당히이쁠듯 목소리도 섹시하고 의외네,0
맛있는 음식을간단하고 센스있는  항상보여주셔서 감사합니다,0
너무 멋졌어요..,0
어째 사진들 하나하나가 극혐이냐,1
 왜 조선이 1등인지 알겠음 !,0
 진짜로 오빠들이 자체작이라는 말에 저는 이끌려 오빠들 매력에 푹 빠졌죠,0
연기자로서 확고히 자리매김하게된 진영~,0
이런 또라이가 대선후보라니..미국이란 나라 참 모르겠다,1
삼성내년 꼴찌 붙박이네,1
쥐새끼 몇마리 또 나대네.. ㅋㅋㅋㅋㅋㅋ,1
저번에 가보고 괜찮아서 또 하게되면 가야지 목빠지게기다렸는데 드디어 시작하네요 ^^,0
파친것들! 참 돌아삐겟따~~,1
손님이 담배 하나사가시고 마넌짜리 내시길래 7500언드리면 되는데갑자기 만언이 바닥에 있길래 아 안넣었나하고 다시 넣엇고7500언드리고 가셧는데 시제점검할때 2만언 넣은사실을 알게되어서만언 꿀꺽햇음,0
솔직히 트와일라잇에 어울리는 주인공은 아냐...,1
너무 멋진경기였습니다,0
연아양으로 인해  행복했던 지난시간들을  맘속깊이 간직합니다,0
 그렇게 살지마라 사람쳐죽여놓고 뭐하는거냐?,1
새만금을중국에영구임대했음좋겠다,1
그러게요.모든 댓글 감사합니다.,0
내도 이번 토욜에는 광화문에 애들셋 델고 나가야겠다..진짜 분통터져서 못참겠다,1
진품은 어느 놈이 빼돌린거냐?,1
 마지막무대인데도 최선을 다하시는모습 진심으로 멋있고 대단했습니다.,0
삼시세끼 짱!!!!,0
유재석소감 들으며 감동,0
진정 95억뿐이었을까요,1
 넘 좋네요 ^^만족스러워요 !,0
유재석도 더 험한꼴 보지 말고 깔끔하게 나와라 폐지하자 그냥,1
애비애미가총맞아죽은걸기억하지못하것지,1
 삼고초려 끝에 오케이해준 에릭 진짜ㅜㅜㅜㅜㅜ 완전 좋다!!,0
더러운 땐놈들 다시찢어져야되,1
환경부 호구 들 바보,1
 리더십은 좋지만 너무 자신의 주장이 강해,1
저걸 보고 가만히 있으면 안되지.과징금 때린다고해야지!!,1
이걸 허가해준 놈들이 누군지 정말 궁긍하다 미치지 않고서야??,1
지가 그 기득권이라는자각이 없네,1
존나 무식한 기자로..,1
범죄국가로 선포하고 외교단절해라,1
고객들에게 빨리 배송하기위해 고생하는 택배기사님들 정말 고마운분들이다,0
와우...이쯤되면 꼭두각시 객관적으로 증명된거 아니냐,1
너무 멋지십니다^^,0
"여자 연예인보다 남자 연예인한테 더 자극됨,,,",0
광화문 또 가게 만드시네.,1
외화위기 때 금모으기로 은행살리려던 서민들은 정작 찬밥신세고 이 도그년한텐 개같이 대출해주네.,1
이래저래 못맞추면 삭감해야지 그동안 못맞추면서 많이 가져갔고만,1
한달가까이 합숙훈련했으니 2골이라도 넣은거야 새꺄,1
예능프로에서 잴 잼나다갱규 호동 너무웃겨드라마보다 낫더라,0
